userName,score,at,content
Rudi Pras,1,2026-05-05 02:26:43,"sebelum saya verifilasi email saldo saya aman hampir ke 4 juta,tapi setelah saya verifikasi email bukanya tambah kuat tapi bisa kecolongan ,padahal tidak ada akun yang terhubung atau riwayat di google play dan saldo hilang di YOYO VOICE CHA, HILANG 750.000 DENGAN 2X TRANSAKSI..mohon dari pihak gopay membantu saldo kembali. terima kasih"
INDRA SUKA_SUKA,5,2026-05-05 02:22:42,the best
Reski Pesek,5,2026-05-05 02:21:01,good
tia bsa,5,2026-05-05 02:17:30,These apps made my life easier
Yusuf indra Mawan,5,2026-05-05 02:12:22,lancar dan geratis
Siti Wariah,5,2026-05-05 02:08:13,bagus
Swandi Sitanggang,5,2026-05-05 02:06:42,Semua sudah bagus.
Adid Rosadi,5,2026-05-05 02:02:32,mantap
DODI HERYADI,4,2026-05-05 01:59:16,"aplikasinya sudah bagus, tapi ada yang saya gak ngerti kenapa nomor yang gak punya akun gopay juga muncul saat mau transfer ke ewallet lain? malahan ketika saya salah kirim seharusnya ke nomor ewallet lain ini saya jadi transfer ke no gopay padahal si penerima tidak memiliki akun gopay tapi notif dari gopay pengiriman sukses dan saldo gopay saya berkurang, mohon penjelasan nya min.. trims"
Danu MD Farm,5,2026-05-05 01:50:47,kenapa Aplikasi Gopay saya Tidak bisa dibuka? bagaimana caranya utk bisa dibuka lagi ?
Dede Godeg,5,2026-05-05 01:50:30,sangat bagus
Muslim Damanik,5,2026-05-05 01:49:05,sangat membantu
Fazar Adrian,5,2026-05-05 01:47:32,mantapppp.. pertahankan kualitas nya
Kiki Hendriyana,5,2026-05-05 01:40:58,bagus
ramawidya putra,5,2026-05-05 01:40:34,banyak Bug ny di petshop tolong di perbaiki terkadang suka enggak claim GO-PAY coins ny. 🙏🙏🙏
Hendry Anto,3,2026-05-05 01:38:45,ok
Nare Yalhup,3,2026-05-05 01:31:59,Terima kasih banyak
Queena Annabel,5,2026-05-05 01:19:34,ok
Rachmad Arif,1,2026-05-05 01:19:30,pengecekan gopay laternya lama
Noeschi Arief,5,2026-05-05 01:17:03,alat bayar yg praktis
Jidan Pratama,5,2026-05-05 01:16:12,sangat bagus
Mariati Ati,5,2026-05-05 01:15:15,sangat baik untuk mempermudah transaksi dan menyimpan uang lebih tenang
Andrianosec,1,2026-05-05 01:05:32,"TOLOOLLL , GW MAU TRANSFER AJA GAK BISA ALASAN NYA , ADA ORANG MENCURIGAKAN DI AKUN ANDA ,JAWABA NYA PUN GAK NYAMBUNG , KAYAK PENIPU , GOPAY INI APLIKASI PENIPU PEMAKAN UANG ORANG JADI GAUSAH DONGLOAD , PADAHAL AKUN SAYA PAKE FACE MUKA BISA PULA JAWABAN NYA ADA ORANG YANG MASUK WKWKW😂"
Mhay Fery,5,2026-05-05 00:59:43,transfer gratis banya updet daata gampang
Santi Yepi,4,2026-05-05 00:58:55,baik
Gg Gg,5,2026-05-05 00:55:04,perbaiki dong saat mau bayar kok leg terus
Yogi Saputra7777,5,2026-05-05 00:52:41,lancar tanpa kendala
Hendrik Boma,5,2026-05-05 00:50:19,makanik
Edi Manarul,5,2026-05-05 00:42:57,mantap
Sal Put,5,2026-05-05 00:39:54,ok bgt
Dwi Astiti bhakti,5,2026-05-05 00:35:57,good
